"uid","namedLocation","domainID","siteID","plotType","sampleID","sampleCode","collectDate","lmaSampleID","lmaSampleCode","lmaSampleCondition","scanDate","scannedBy","freshMass","ovenStartDate","ovenEndDate","dryMass","weighedBy","scannedLeafNumber","leafArea","percentGreen","leafMassPerArea","dryMassFraction","measuredBy","remarks","dataQF"
"8c4c34d4-8374-4d9e-aea6-22daba82cd60","HARV_013.basePlot.cfc","D01","HARV","distributed","AVQkM2txccdU9XU1geX3p7dBL1yeO83xJfU2OND+zK4=","A00000000780","2018-09-05T16:06Z","AVQkM2txccdU9XU1geX3p7dBL1yeO83xDnaPTm21Y0I=",NA,"OK","2018-09-06T14:50Z","llukas@battelleecology.org",2.22,"2018-09-06T14:53Z","2018-09-10T19:39Z",1.19,"llukas@battelleecology.org",5,12106.2,99,98.3,0.536,"scook@battelleecology.org","",NA
"6ab50a0f-d95c-42d5-a64c-44f7c9c24192","HARV_006.basePlot.cfc","D01","HARV","distributed","AVQkM2txccff87SxuZNcE+iY147qeowcrBke51Z5alM=","A00000000765","2018-09-05T18:04Z","AVQkM2txccff87SxuZNcE+iY147qeowccBlSnIx+y9c=",NA,"OK","2018-09-06T12:57Z","opiscitelli@battelleecology.org",3.74,"2018-09-06T13:13Z","2018-09-10T19:37Z",2.12,"llukas@battelleecology.org",6,19438.5,99,109.1,0.567,"llukas@battelleecology.org","",NA
"4fd06ef2-688b-4f0c-89f7-91bd51395209","HARV_006.basePlot.cfc","D01","HARV","distributed","AVQkM2txcccbfq2mByGOeXPHFFcT7zucTX5MUkVCdZs=","A00000000747","2018-09-06T13:01Z","AVQkM2txcccbfq2mByGOeXPHFFcT7zucMhVLQVN6EPs=",NA,"OK","2018-09-07T15:05Z","llukas@battelleecology.org",3.79,"2018-09-07T15:15Z","2018-09-10T19:42Z",1.9,"llukas@battelleecology.org",4,21615.2,98,87.9,0.501,"scook@battelleecology.org","",NA
"1cf6ef9b-b5a2-49f2-bffa-ea8e3f240437","HARV_006.basePlot.cfc","D01","HARV","distributed","AVQkM2txccenLB73JxEdacLoLcwaSeCKrDi+Yo1Cuyg=","A00000000764","2018-09-06T14:34Z","AVQkM2txccenLB73JxEdacLoLcwaSeCKSPaKxvGTl+0=",NA,"OK","2018-09-07T15:38Z","llukas@battelleecology.org",2.8,"2018-09-07T15:41Z","2018-09-10T19:44Z",1.47,"llukas@battelleecology.org",5,15331.2,100,95.9,0.525,"llukas@battelleecology.org","Originally recorded as QURU",NA
"4eed4187-bc40-4678-847f-a453e2597005","HARV_004.basePlot.cfc","D01","HARV","distributed","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5YNhoGUjrzdg=","A00000000743","2018-09-06T16:56Z","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5bnzPMAb6zPY=",NA,"OK","2018-09-07T15:47Z","llukas@battelleecology.org",2.98,"2018-09-07T15:48Z","2018-09-10T19:43Z",1.5,"llukas@battelleecology.org",4,15753.3,98,95.2,0.503,"llukas@battelleecology.org","",NA
"5734ea1f-331a-451a-85fb-6d1ac625e111","HARV_004.basePlot.cfc","D01","HARV","distributed","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7W5OTZwMQwvE=","A00000000758","2018-09-06T18:11Z","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7z2dkEQdMsskX0f7cdbpd0g==",NA,"OK","2018-09-07T15:26Z","llukas@battelleecology.org",8.52,"2018-09-07T15:30Z","2018-09-10T19:44Z",3.9,"llukas@battelleecology.org",1,60541.4,98,64.4,0.458,"llukas@battelleecology.org","",NA
"b52e59a7-168c-4a75-b815-aaf1a1afd281","HARV_004.basePlot.cfc","D01","HARV","distributed","AVQkM2txcccSmS/+trysX9MD/YSgk8+T4vjMfdPDA4I=","A00000000767","2018-09-07T14:22Z","AVQkM2txcccSmS/+trysX9MD/YSgk8+TfBWWmCMOXjY=",NA,"OK","2018-09-10T19:03Z","llukas@battelleecology.org",3.4,"2018-09-10T19:04Z","2018-09-17T15:23Z",1.802,"llukas@battelleecology.org",6,19020.5,99,94.7,0.53,"llukas@battelleecology.org","",NA
"bf7c3327-cb4e-430b-a454-24331d98068f","HARV_010.basePlot.cfc","D01","HARV","distributed","AVQkM2txcccPybg3jdEvENrtT75oYMHcXgqTe+G80ok=","A00000000790","2018-09-07T17:11Z","AVQkM2txcccPybg3jdEvENrtT75oYMHcfeu0WCpGuj4=",NA,"OK","2018-09-10T18:18Z","llukas@battelleecology.org",0.87,"2018-09-10T18:22Z","2018-09-17T15:25Z",0.37,"llukas@battelleecology.org",32,2189.8,100,169,0.425,"muffenbeck@battelleecology.org","",NA
"f149c6c2-db97-4017-9635-b181cd1bd545","HARV_010.basePlot.cfc","D01","HARV","distributed","AVQkM2txcccewditTwq1KuTCeBLO/0I69XwYsO5JkgA=","A00000000759","2018-09-07T17:18Z","AVQkM2txcccewditTwq1KuTCeBLO/0I62MHYyIuv/IE=",NA,"OK","2018-09-10T18:28Z","llukas@battelleecology.org",2.82,"2018-09-10T18:30Z","2018-09-17T15:27Z",1.484,"llukas@battelleecology.org",5,14945.1,99,99.3,0.526,"llukas@battelleecology.org","",NA
"27f63964-a184-444a-94cd-38d583551fef","HARV_010.basePlot.cfc","D01","HARV","distributed","AVQkM2txcccWZgV/vveh/oF23uonq/XmCwAmhLDCbJc=","A00000000766","2018-09-07T18:21Z","AVQkM2txcccWZgV/vveh/oF23uonq/Xm39Lwirt7uAI=",NA,"OK","2018-09-10T18:52Z","llukas@battelleecology.org",0.42,"2018-09-10T18:56Z","2018-09-17T15:26Z",0.17,"llukas@battelleecology.org",90,1379.2,100,123.3,0.405,"scook@battelleecology.org","",NA
"5d17a366-97ca-479c-b611-098f7597ca65","HARV_022.basePlot.cfc","D01","HARV","distributed","AVQkM2txccc6noxeRrSOsudACi5yacTWac7zJEpUOd0=","A00000000789","2018-09-10T15:13Z","AVQkM2txccc6noxeRrSOsudACi5yacTW6+ErVl7CsBc=",NA,"OK","2018-09-11T13:10Z","scook@battelleecology.org",0.67,"2018-09-11T13:29Z","2018-09-17T15:19Z",0.33,"llukas@battelleecology.org",40,1742.7,100,189.4,0.493,"scook@battelleecology.org","",NA
"29f6c0e6-6329-4415-ac21-15b42ff405f9","HARV_022.basePlot.cfc","D01","HARV","distributed","AVQkM2txccc6noxeRrSOspAHhVexlzM8mwyaXdOFLv0=","A00000000751","2018-09-10T16:11Z","AVQkM2txccc6noxeRrSOspAHhVexlzM8xZ203f6dYRM=",NA,"OK","2018-09-11T14:11Z","scook@battelleecology.org",0.64,"2018-09-11T14:26Z","2018-09-17T15:17Z",0.307,"llukas@battelleecology.org",40,1532.9,99,200.3,0.48,"scook@battelleecology.org","",NA
"40592d7b-38aa-4f7b-be08-025a2077a9f3","HARV_022.basePlot.cfc","D01","HARV","distributed","AVQkM2txccc6noxeRrSOstsf5AN8gGYTM9iUT5t+h/M=","A00000000749","2018-09-10T17:31Z","AVQkM2txccc6noxeRrSOstsf5AN8gGYTQXeT2ME0Av4=",NA,"OK","2018-09-11T14:08Z","scook@battelleecology.org",0.74,"2018-09-11T14:08Z","2018-09-17T15:18Z",0.357,"llukas@battelleecology.org",40,1917.6,100,186.2,0.482,"scook@battelleecology.org","",NA
"333416fb-6200-4044-bcfe-191e72f8bc8e","HARV_037.basePlot.cfc","D01","HARV","tower","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJOsxtT1HohFU=","A00000000785","2018-09-10T19:01Z","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJeG1ZakZOECU=",NA,"OK","2018-09-11T12:14Z","scook@battelleecology.org",0.3,"2018-09-11T12:45Z","2018-09-17T15:21Z",0.117,"llukas@battelleecology.org",90,981.6,100,119.2,0.39,"llukas@battelleecology.org","",NA
"e523d863-828d-436a-b696-82abfd775a57","HARV_021.basePlot.cfc","D01","HARV","distributed","AVQkM2txcceHQFirHzLlz4nW78zFSrJxK9BWZIIqEpY=","A00000000776","2018-09-11T13:40Z","AVQkM2txcceHQFirHzLlz4nW78zFSrJx0igXelHtX/Q=",NA,"OK","2018-09-12T13:31Z","jwebber@field-ops.org",2.91,"2018-09-12T13:35Z","2018-09-17T15:13Z",1.531,"llukas@battelleecology.org",9,18189,98,84.2,0.526,"jwebber@field-ops.org","",NA
"46f27d5b-bc67-47a1-a257-62667f4dbff8","HARV_021.basePlot.cfc","D01","HARV","distributed","AVQkM2txccfbm8FmR6uYPhdBaTNLRjTHAMiMLvYo7JM=","A00000000791","2018-09-11T16:34Z","AVQkM2txccfbm8FmR6uYPhdBaTNLRjTHtlidGNb4LOA=",NA,"OK","2018-09-12T18:00Z","jwebber@field-ops.org",0.402,"2018-09-12T18:00Z","2018-09-17T15:15Z",0.182,"llukas@battelleecology.org",30,1173.3,100,155.1,0.453,"jwebber@field-ops.org","",NA
"56d5d747-3b65-49bb-84fa-3e41e242f7e5","HARV_021.basePlot.cfc","D01","HARV","distributed","AVQkM2txccfbm8FmR6uYPtcFoCQCwRlBPNXJVsHINiA=","A00000000787","2018-09-11T17:39Z","AVQkM2txccfbm8FmR6uYPtcFoCQCwRlBDnwHoEy2UvI=",NA,"OK","2018-09-12T18:00Z","jwebber@field-ops.org",0.454,"2018-09-12T18:00Z","2018-09-17T15:16Z",0.224,"llukas@battelleecology.org",30,1265.2,100,177.1,0.493,"jwebber@field-ops.org","",NA
"ed744deb-d6c9-4cf1-a94e-8cb7bbb97cf6","HARV_001.basePlot.cfc","D01","HARV","distributed","AVQkM2txccdjiqyLpwJ6Hd2h51zCMAtO2NZL09Hgnug=","A00000000761","2018-09-12T13:32Z","AVQkM2txccdjiqyLpwJ6Hd2h51zCMAtO0k0XGVGjThM=",NA,"OK","2018-09-13T12:35Z","jwebber@field-ops.org",2.405,"2018-09-13T13:00Z","2018-09-20T13:44Z",1.006,"llukas@battelleecology.org",10,18961.3,98,53.1,0.418,"jwebber@field-ops.org","",NA
"fd257b3b-c658-4bf0-9a05-3739537944d8","HARV_001.basePlot.cfc","D01","HARV","distributed","AVQkM2txcccmWvD+VUNzF6MwCeNJeRQsv29qf/p3LSo=","A00000000748","2018-09-12T14:25Z","AVQkM2txcccmWvD+VUNzF6MwCeNJeRQs0rUtquuOV84=",NA,"OK","2018-09-13T12:50Z","jwebber@field-ops.org",3.089,"2018-09-13T13:00Z","2018-09-20T13:46Z",1.378,"llukas@battelleecology.org",4,19603.9,97,70.3,0.446,"jwebber@field-ops.org","",NA
"02c826aa-3e7c-473c-8a4b-6b25425cb4cf","HARV_001.basePlot.cfc","D01","HARV","distributed","AVQkM2txccffTtmrmjG0vVZY8OLPbga3j9ACPpMZkdc=","A00000000779","2018-09-12T15:04Z","AVQkM2txccffTtmrmjG0vVZY8OLPbga3wt3emle2psg=",NA,"OK","2018-09-13T12:18Z","jwebber@field-ops.org",3.168,"2018-09-13T13:00Z","2018-09-20T13:47Z",1.435,"llukas@battelleecology.org",3,15740.4,99,91.2,0.453,"jwebber@field-ops.org","",NA
"fe30665f-4c0e-408b-bf77-7258c799d7b5","HARV_005.basePlot.cfc","D01","HARV","distributed","AVQkM2txcccKiof8yXpZAHuQDF5jQZnUzJcb1+fDsIE=","A00000000777","2018-09-12T17:31Z","AVQkM2txcccKiof8yXpZAHuQDF5jQZnUJHVCi/F8QZA=",NA,"OK","2018-09-13T11:30Z","jwebber@field-ops.org",4.436,"2018-09-13T13:00Z","2018-09-20T13:38Z",2.11,"llukas@battelleecology.org",3,20347.3,99,103.7,0.476,"jwebber@field-ops.org","",NA
"82cd943a-519c-407b-a59d-c23b8d05a70f","HARV_005.basePlot.cfc","D01","HARV","distributed","AVQkM2txcceHcJqM/wRpOotLqLf5uwVmZL07MDmXjW4=","A00000000782","2018-09-12T18:02Z","AVQkM2txcceHcJqM/wRpOotLqLf5uwVmWyrGryrrvzk=",NA,"OK","2018-09-13T11:47Z","jwebber@field-ops.org",3.244,"2018-09-13T13:00Z","2018-09-20T13:42Z",1.533,"llukas@battelleecology.org",5,17347.1,99,88.4,0.473,"jwebber@field-ops.org","",NA
"509ad6f1-538d-4b2a-a2da-38208d9ae0ed","HARV_005.basePlot.cfc","D01","HARV","distributed","AVQkM2txcccKiof8yXpZAIZh3QZPb/WruL57gVIC+GE=","A00000000741","2018-09-12T18:43Z","AVQkM2txcccKiof8yXpZAIZh3QZPb/WryH4Bh33GvXI=",NA,"OK","2018-09-13T12:04Z","jwebber@field-ops.org",3.452,"2018-09-13T13:00Z","2018-09-20T13:40Z",1.748,"llukas@battelleecology.org",3,16521.6,99,105.8,0.506,"jwebber@field-ops.org","",NA
"1c4578ac-8440-42f0-8f1c-c86748ddf3f1","HARV_002.basePlot.cfc","D01","HARV","distributed","AVQkM2txccfiSjgtVV+ppr9FMbi3QSanDTsoqzSu/KE=","A00000000781","2018-09-13T13:17Z","AVQkM2txccfiSjgtVV+ppr9FMbi3QSankO3rlp3PVPc=",NA,"OK","2018-09-17T17:59Z","llukas@battelleecology.org",3.11,"2018-09-17T17:59Z","2018-09-24T18:59Z",1.306,"llukas@battelleecology.org",6,20826,99,62.7,0.42,"muffenbeck@battelleecology.org","",NA
"249f93d4-2e4f-4165-b05c-7afb0f58de8c","HARV_002.basePlot.cfc","D01","HARV","distributed","AVQkM2txccdwqwobATHHU2r8Mh0CVy+IIuJthUt1BUc=","A00000000784","2018-09-13T13:48Z","AVQkM2txccdwqwobATHHU2r8Mh0CVy+IQt/2M7XT9ok=",NA,"OK","2018-09-17T17:41Z","llukas@battelleecology.org",2.692,"2018-09-17T17:52Z","2018-09-24T19:14Z",1.233,"llukas@battelleecology.org",4,17349,98,71.1,0.458,"muffenbeck@battelleecology.org","",NA
"f80034eb-1585-4152-9825-7e84561441a8","HARV_002.basePlot.cfc","D01","HARV","distributed","AVQkM2txccfiSjgtVV+pptOYsYeSWQKy/Cef7KABvT4=","A00000000742","2018-09-13T15:14Z","AVQkM2txccfiSjgtVV+pptOYsYeSWQKy+Ohpo87qpnU=",NA,"OK","2018-09-17T18:05Z","llukas@battelleecology.org",2.523,"2018-09-17T18:06Z","2018-09-24T19:03Z",1.119,"llukas@battelleecology.org",8,19069,99,58.7,0.444,"muffenbeck@battelleecology.org","",NA
"76d8a018-949b-4750-bcdb-1866a4c6e40f","HARV_020.basePlot.cfc","D01","HARV","distributed","AVQkM2txccef2labSJF6XRr/e6EabGRtYmCyKOw2YUM=","A00000000778","2018-09-13T18:20Z","AVQkM2txccef2labSJF6XRr/e6EabGRtodGpvG264FMeOAIQv+9uFQ==",NA,"OK","2018-09-17T17:40Z","llukas@battelleecology.org",3.594,"2018-09-17T17:43Z","2018-09-24T18:50Z",1.761,"llukas@battelleecology.org",1,21437,95,82.1,0.49,"muffenbeck@battelleecology.org","",NA
"a7acbf18-102b-4f85-a4de-084c20741549","HARV_020.basePlot.cfc","D01","HARV","distributed","AVQkM2txcce10wz3R9YDPCy/qOkm4Yuh2kQz3M3JqDs=","A00000000775","2018-09-13T19:07Z","AVQkM2txcce10wz3R9YDPCy/qOkm4Yuhv11MU2Se/B4=",NA,"OK","2018-09-17T17:05Z","llukas@battelleecology.org",3.478,"2018-09-17T17:08Z","2018-09-24T18:54Z",1.726,"llukas@battelleecology.org",8,15877,99,108.7,0.496,"muffenbeck@battelleecology.org","This plant is actually an Acer rubrum.",NA
"905dafe7-2cff-4b28-a676-85a347cf6124","HARV_020.basePlot.cfc","D01","HARV","distributed","AVQkM2txccfQ9gL84DDu1LiWnMK9XSZTxwuHuVekxaA=","A00000000750","2018-09-13T19:57Z","AVQkM2txccfQ9gL84DDu1LiWnMK9XSZTP1CHbtZiI1ngmsJpbuuJdg==",NA,"OK","2018-09-17T17:27Z","llukas@battelleecology.org",1.766,"2018-09-17T17:28Z","2018-09-24T18:56Z",0.844,"llukas@battelleecology.org",4,14719,96,57.3,0.478,"muffenbeck@battelleecology.org","This tree is actually an Acer nigrum.",NA
"20b24cb1-30d6-4c36-a9c6-2a2cc2bce8e6","HARV_034.basePlot.cfc","D01","HARV","tower","AVQkM2txcceIitBakpoc8loyloTarjQ/wzkXvTRKclI=","A00000000783","2018-09-17T13:45Z","AVQkM2txcceIitBakpoc8loyloTarjQ/prcyKAGcps4=",NA,"OK","2018-09-18T12:22Z","muffenbeck@battelleecology.org",2.366,"2018-09-18T12:29Z","2018-09-24T18:44Z",1.139,"llukas@battelleecology.org",22,3508,98,324.7,0.481,"llukas@battelleecology.org","",NA
"8acd4086-83d8-46e7-8b37-02f9c33bc03c","HARV_034.basePlot.cfc","D01","HARV","tower","AVQkM2txcceIitBakpoc8h0+cR9qiKY2SVo741tpyNU=","A00000000760","2018-09-17T16:27Z","AVQkM2txcceIitBakpoc8h0+cR9qiKY2Zl3EpYiQ4ho=",NA,"OK","2018-09-18T12:56Z","muffenbeck@battelleecology.org",2.978,"2018-09-18T13:03Z","2018-09-24T18:39Z",1.382,"llukas@battelleecology.org",23,5315,100,260,0.464,"llukas@battelleecology.org","",NA
"e996fb42-58d6-43f0-b3fd-0455f015e497","HARV_034.basePlot.cfc","D01","HARV","tower","AVQkM2txcceIitBakpoc8nNFI38kpaWdWDI6HA3w2cQ=","A00000000754","2018-09-17T19:26Z","AVQkM2txcceIitBakpoc8nNFI38kpaWdFFs0sCQ8kd8=",NA,"OK","2018-09-18T13:52Z","muffenbeck@battelleecology.org",2.431,"2018-09-18T13:52Z","2018-09-24T18:47Z",1.101,"llukas@battelleecology.org",25,3798,100,289.9,0.453,"llukas@battelleecology.org","",NA
"772a1b1c-0240-41e6-942a-39ed8f35f6d1","SCBI_005.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2optV4j8vL6Y=",NA,"2017-07-24T12:29Z","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2rQpHbV08Y6g=",NA,"OK","2017-07-24T20:15Z","llemmon@field-ops.org",3.108,"2017-07-25T22:00Z","2017-07-28T12:45Z",1.572,"jward@battelleecology.org",3,18126.7,89,86.7,0.506,"mhughes@field-ops.org",NA,NA
"bd688e46-ccc5-46ce-9c5c-8faf7f6a1deb","SCBI_005.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=",NA,"2017-07-24T13:06Z","HvxvVDlCk18recdnuMUehunN/NlpHPvsrCrVemJtdg3hXHAfverKug==",NA,"OK","2017-07-24T20:20Z","llemmon@field-ops.org",1.842,"2017-07-25T22:00Z","2017-07-28T12:42Z",0.902,"jward@battelleecology.org",2,11001,87,82,0.49,"mhughes@field-ops.org",NA,NA
"115d7b27-c5bf-417d-bca9-2e2a3f87ad15","SCBI_005.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRw+6sK11aWqs=",NA,"2017-07-24T15:09Z","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRMb4CDTGY9n4=",NA,"OK","2017-07-24T20:30Z","llemmon@field-ops.org",5.022,"2017-07-25T22:00Z","2017-07-28T12:53Z",1.667,"jward@battelleecology.org",3,22112.5,96,75.4,0.332,"mhughes@field-ops.org",NA,NA
"1225fa8b-840d-4c6c-8765-8eb56bdda324","SCBI_004.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oknqmSB0px8=",NA,"2017-07-25T13:28Z","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1yGPazs82Hv0=",NA,"OK","2017-07-25T21:18Z","gchapman@neoninc.org",2.324,"2017-07-25T22:00Z","2017-07-28T12:40Z",0.874,"jward@battelleecology.org",1,13428.9,99,65.1,0.376,"mhughes@field-ops.org",NA,NA
"3b1e46af-4548-4a08-929b-f5967665e0cd","SCBI_004.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcl2hZ7UP3OAE=",NA,"2017-07-25T13:29Z","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgclcizGZ4uwjb9CmhL1UFrFA==",NA,"OK","2017-07-25T21:25Z","gchapman@neoninc.org",3.022,"2017-07-25T22:00Z","2017-07-28T12:48Z",1.477,"jward@battelleecology.org",1,14882.7,98,99.2,0.489,"mhughes@field-ops.org",NA,NA
"4555e75f-931e-410a-b788-963d0e8a8dbd","SCBI_004.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNS/W4G1Iat3s=",NA,"2017-07-25T14:26Z","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgN+0Gcd9TOmSU=",NA,"OK","2017-07-25T21:34Z","gchapman@neoninc.org",2.713,"2017-07-25T22:00Z","2017-07-28T12:50Z",1.297,"jward@battelleecology.org",3,12054.3,99,107.6,0.478,"mhughes@field-ops.org",NA,NA
"c3c99334-4805-4fc2-9fe1-de41a2bb8cf6","SCBI_045.basePlot.cfc","D02","SCBI","tower","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0apRmAwsMvV50=",NA,"2017-07-25T16:57Z","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0a1a/JAgFiszI=",NA,"OK","2017-07-25T21:41Z","gchapman@neoninc.org",5.142,"2017-07-25T22:00Z","2017-07-28T13:00Z",2.124,"jward@battelleecology.org",1,24929.3,95,85.2,0.413,"mhughes@field-ops.org",NA,NA
"21181fc9-419f-4cd1-885f-906306adbdca","SCBI_049.basePlot.cfc","D02","SCBI","tower","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzdzxSLKrdj+4=",NA,"2017-07-26T13:50Z","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzm+fDMzVMUMQ=",NA,"OK","2017-07-26T19:30Z","llemmon@field-ops.org",4.892,"2017-07-30T23:45Z","2017-08-04T19:10Z",1.659,"jward@battelleecology.org",3,19852.7,100,83.6,0.339,"mhughes@field-ops.org",NA,NA
